source_platform,search_keyword,job_title,company,location,experience_level,salary,employment_type,skills,description_snippet,posted_date_raw,job_url,scraped_at
jsearch:Instahyre,Junior ML Engineer,Junior AI Programmer,Tessell,"Hyderabad, Telangana, IN",,,Full–time,,"We are looking for a motivated and curious Junior AI Programmer to join our AI team. This is an excellent opportunity for early-career professionals to work on exciting AI/ML projects, contribute to the development of intelligent applications, and grow their skills in data scienc",2026-06-25T00:00:00.000Z,https://www.instahyre.com/job-430775-junior-ai-programmer-at-tessell-2-hyderabad/,2026-07-13T12:48:51+00:00
jsearch:LinkedIn,Junior ML Engineer,ML Engineer-Immediate joiner,DXC Technology,"Hyderabad, Telangana, IN",,,Full–time,,"Project Description:

We're seeking a passionate and skilled Machine Learning Engineer to join our growing team in Hyderabad. You'll play a key role in designing, developing, and deploying scalable ML solutions in Capital Markets. This is a fantastic opportunity to work with cutt",2026-07-01T00:00:00.000Z,https://in.linkedin.com/jobs/view/ml-engineer-immediate-joiner-at-dxc-technology-4435520503,2026-07-13T12:48:51+00:00
jsearch:HiringGo,Junior ML Engineer,AI / Machine Learning Engineer,Nisum Consulting Pvt. Ltd,"Hyderabad, Telangana, IN",,,Full–time,,"As a Machine Learning Engineer at the company, your role will involve leading end-to-end model design, development, and productionization across AI/ML and Generative AI. You will be responsible for architecting robust ML/GenAI pipelines on Azure Databricks and enterprise cloud pl",,https://hiringgo.com/job/ai-machine-nisum-consulting-pvt.-25568,2026-07-13T12:48:51+00:00
jsearch:LinkedIn,Junior ML Engineer,GenAI / LLM Engineer [T500-27255],Talent500,"Hyderabad, Telangana, IN",,,Full–time,,"About Talent500:

Talent500 is the go-to premium destination for the best global job opportunities at Global Capability Centers or GCCs in India.

We believe in opportunities favoring the bold and thus, we help the best tech and non-tech talent find their dream jobs at renowned c",2026-07-02T00:00:00.000Z,https://in.linkedin.com/jobs/view/genai-llm-engineer-t500-27255-at-talent500-4436179621,2026-07-13T12:48:51+00:00
jsearch:Cloud Soft Solutions,Junior ML Engineer,"AI / ML Engineer Intern (LangChain, RAG, Agentic AI) — CAW.Tech (CAW Studios) · Hyderabad",CAW.Tech (CAW Studios),"Hyderabad, Telangana, IN",,,Internship,,"AI / ML Engineer Internship at CAW.Tech (CAW Studios) in Hyderabad for freshers passionate about agentic AI, LangChain / LangGraph, RAG pipelines and production-grade ML. Build autonomous agents and LLM apps on real client projects. 0-1 year, onsite Hyderabad, competitive stipend",,https://cloudsoftsol.com/jobs/caw-tech-ai-ml-engineer-intern-langchain-rag-agentic-hyderabad-2026/,2026-07-13T12:48:51+00:00
jsearch:Phenom,Junior ML Engineer,Product Development Engineer III - Machine Learning,Phenom People Pvt Ltd,"Hyderabad, Telangana, IN",,,Full–time,,"Job Requirements

Phenom Intro:

Our purpose is to help a billion people find the right job! Phenom is an AI-Powered talent experience platform that is redefining the HR tech space. We have grown into a global organization with offices in 6 countries and over 2,000 employees. As ",2026-07-05T00:00:00.000Z,https://careers.phenom.com/in/en/job/P-104586/Product-Development-Engineer-III-Machine-Learning,2026-07-13T12:48:51+00:00
jsearch:LinkedIn,Junior ML Engineer,"AI/ML Engineer – LLM, RAG & Machine Learning",Yathi Solutions,"Hyderabad, Telangana, IN",,,Full–time,,"About The Role

We are seeking a skilled AI/ML Engineer to design, build, and deploy production-grade AI systems powered by Large Language Models (LLMs), Retrieval-Augmented Generation (RAG), and core Machine Learning. The ideal candidate will enjoy working close to data, models,",2026-06-29T00:00:00.000Z,https://in.linkedin.com/jobs/view/ai-ml-engineer-%E2%80%93-llm-rag-machine-learning-at-yathi-solutions-4431079715,2026-07-13T12:48:51+00:00
jsearch:BeBee,Junior ML Engineer,Sr AI Engineer / Lead AI Engineer | Hyderabad | Fulltime | AiFA Labs,Aifa Labs,"Hyderabad, Telangana, IN",,,Full–time,,"Title: Senior/ Lead AI/ML Engineer Agentic AI & RAG Systems

Experience Required: 6+ Years

Location: Hyderabad

Type: Full-time
Must-Have Skills

• Agentic AI Systems & Multi-Agent Architectures

• Generative AI

• LLMs, Deep Agents, ReAct Agents

• LangChain, LangGraph

• Retri",2026-07-10T00:00:00.000Z,https://bebee.com/in/jobs/sr-ai-engineer-lead-ai-engineer-hyderabad-fulltime-aifa-labs-aifa-labs-hyderabad--t7xk-757645085,2026-07-13T12:48:51+00:00
jsearch:Getmereferred.com,Junior ML Engineer,Junior Data & AI Engineer - VIE Contract,Sanofi,"Hyderabad, Telangana, IN",,,Full–time,,"Junior Data & AI Engineer - VIE ContractLocation: India, HyderabadTarget start date: 01/10/2026iMove, the Sanofi VIE Program, is available to citizens of the European Economic Area (EU + Norway, Liechtenstein and Iceland) aged between 18 and 28.PLEASE NOTE that since this program",,https://getmereferred.com/in/job-listing/junior-data-ai-engineer-vie-contract-sanofi-intshyderabad-1-to-2-years-experience-e05fcecd-46de-4420-b385-2fb4d243d9ee,2026-07-13T12:48:51+00:00
jsearch:Jobaaj,Junior ML Engineer,AI /ML Engineer Junior,Meltwater,"Hyderabad, Telangana, IN",,,Full–time,,"DescriptionWhat we are looking for:As an AI/ML Engineer at Meltwater, youll play a vital role in building cutting-edge social solutions for our global client base within the Explore mission. Were seeking a proactive, quick-learning engineer who thrives in a collaborative environm",,https://www.jobaaj.com/job/meltwater-ai-ml-engineer-junior-hyderabad-telangana-india-1-to-3-years-456133,2026-07-13T12:48:51+00:00
